t,Cumulative_Probability
0.000000,0.000000
0.010000,0.004988
0.020000,0.009950
0.030000,0.014888
0.040000,0.019801
0.050000,0.024690
0.060000,0.029554
0.070000,0.034395
0.080000,0.039211
0.090000,0.044003
0.100000,0.048771
0.110000,0.053515
0.120000,0.058235
0.130000,0.062933
0.140000,0.067606
0.150000,0.072257
0.160000,0.076884
0.170000,0.081488
0.180000,0.086069
0.190000,0.090627
0.200000,0.095163
0.210000,0.099675
0.220000,0.104166
0.230000,0.108634
0.240000,0.113080
0.250000,0.117503
0.260000,0.121905
0.270000,0.126284
0.280000,0.130642
0.290000,0.134978
0.300000,0.139292
0.310000,0.143585
0.320000,0.147856
0.330000,0.152106
0.340000,0.156335
0.350000,0.160543
0.360000,0.164730
0.370000,0.168896
0.380000,0.173041
0.390000,0.177165
0.400000,0.181269
0.410000,0.185353
0.420000,0.189416
0.430000,0.193459
0.440000,0.197481
0.450000,0.201484
0.460000,0.205466
0.470000,0.209429
0.480000,0.213372
0.490000,0.217295
0.500000,0.221199
0.510000,0.225084
0.520000,0.228948
0.530000,0.232794
0.540000,0.236621
0.550000,0.240428
0.560000,0.244216
0.570000,0.247986
0.580000,0.251736
0.590000,0.255468
0.600000,0.259182
0.610000,0.262877
0.620000,0.266553
0.630000,0.270211
0.640000,0.273851
0.650000,0.277473
0.660000,0.281076
0.670000,0.284662
0.680000,0.288230
0.690000,0.291780
0.700000,0.295312
0.710000,0.298827
0.720000,0.302324
0.730000,0.305803
0.740000,0.309266
0.750000,0.312711
0.760000,0.316139
0.770000,0.319549
0.780000,0.322943
0.790000,0.326320
0.800000,0.329680
0.810000,0.333023
0.820000,0.336350
0.830000,0.339660
0.840000,0.342953
0.850000,0.346230
0.860000,0.349491
0.870000,0.352735
0.880000,0.355964
0.890000,0.359176
0.900000,0.362372
0.910000,0.365552
0.920000,0.368716
0.930000,0.371865
0.940000,0.374998
0.950000,0.378115
0.960000,0.381217
0.970000,0.384303
0.980000,0.387374
0.990000,0.390429
1.000000,0.393469
1.010000,0.396494
1.020000,0.399504
1.030000,0.402499
1.040000,0.405479
1.050000,0.408445
1.060000,0.411395
1.070000,0.414331
1.080000,0.417252
1.090000,0.420158
1.100000,0.423050
1.110000,0.425928
1.120000,0.428791
1.130000,0.431640
1.140000,0.434475
1.150000,0.437295
1.160000,0.440102
1.170000,0.442894
1.180000,0.445673
1.190000,0.448437
1.200000,0.451188
1.210000,0.453926
1.220000,0.456649
1.230000,0.459359
1.240000,0.462056
1.250000,0.464739
1.260000,0.467408
1.270000,0.470065
1.280000,0.472708
1.290000,0.475337
1.300000,0.477954
1.310000,0.480558
1.320000,0.483149
1.330000,0.485726
1.340000,0.488291
1.350000,0.490844
1.360000,0.493383
1.370000,0.495910
1.380000,0.498424
1.390000,0.500926
1.400000,0.503415
1.410000,0.505891
1.420000,0.508356
1.430000,0.510808
1.440000,0.513248
1.450000,0.515675
1.460000,0.518091
1.470000,0.520495
1.480000,0.522886
1.490000,0.525266
1.500000,0.527633
1.510000,0.529989
1.520000,0.532334
1.530000,0.534666
1.540000,0.536987
1.550000,0.539296
1.560000,0.541594
1.570000,0.543880
1.580000,0.546155
1.590000,0.548419
1.600000,0.550671
1.610000,0.552912
1.620000,0.555142
1.630000,0.557361
1.640000,0.559568
1.650000,0.561765
1.660000,0.563951
1.670000,0.566126
1.680000,0.568289
1.690000,0.570443
1.700000,0.572585
1.710000,0.574717
1.720000,0.576838
1.730000,0.578948
1.740000,0.581048
1.750000,0.583138
1.760000,0.585217
1.770000,0.587286
1.780000,0.589344
1.790000,0.591392
1.800000,0.593430
1.810000,0.595458
1.820000,0.597476
1.830000,0.599483
1.840000,0.601481
1.850000,0.603469
1.860000,0.605446
1.870000,0.607414
1.880000,0.609372
1.890000,0.611320
1.900000,0.613259
1.910000,0.615188
1.920000,0.617107
1.930000,0.619017
1.940000,0.620917
1.950000,0.622808
1.960000,0.624689
1.970000,0.626561
1.980000,0.628423
1.990000,0.630277
2.000000,0.632121
2.010000,0.633955
2.020000,0.635781
2.030000,0.637598
2.040000,0.639405
2.050000,0.641204
2.060000,0.642993
2.070000,0.644774
2.080000,0.646545
2.090000,0.648308
2.100000,0.650062
2.110000,0.651808
2.120000,0.653544
2.130000,0.655272
2.140000,0.656991
2.150000,0.658702
2.160000,0.660404
2.170000,0.662098
2.180000,0.663784
2.190000,0.665460
2.200000,0.667129
2.210000,0.668789
2.220000,0.670441
2.230000,0.672085
2.240000,0.673720
2.250000,0.675348
2.260000,0.676967
2.270000,0.678578
2.280000,0.680181
2.290000,0.681776
2.300000,0.683363
2.310000,0.684942
2.320000,0.686514
2.330000,0.688077
2.340000,0.689633
2.350000,0.691181
2.360000,0.692721
2.370000,0.694254
2.380000,0.695779
2.390000,0.697296
2.400000,0.698806
2.410000,0.700308
2.420000,0.701803
2.430000,0.703290
2.440000,0.704770
2.450000,0.706242
2.460000,0.707707
2.470000,0.709165
2.480000,0.710616
2.490000,0.712059
2.500000,0.713495
2.510000,0.714924
2.520000,0.716346
2.530000,0.717761
2.540000,0.719168
2.550000,0.720569
2.560000,0.721963
2.570000,0.723349
2.580000,0.724729
2.590000,0.726102
2.600000,0.727468
2.610000,0.728827
2.620000,0.730180
2.630000,0.731526
2.640000,0.732865
2.650000,0.734197
2.660000,0.735523
2.670000,0.736842
2.680000,0.738154
2.690000,0.739460
2.700000,0.740760
2.710000,0.742053
2.720000,0.743339
2.730000,0.744619
2.740000,0.745893
2.750000,0.747160
2.760000,0.748421
2.770000,0.749676
2.780000,0.750925
2.790000,0.752167
2.800000,0.753403
2.810000,0.754633
2.820000,0.755857
2.830000,0.757074
2.840000,0.758286
2.850000,0.759492
2.860000,0.760691
2.870000,0.761885
2.880000,0.763072
2.890000,0.764254
2.900000,0.765430
2.910000,0.766600
2.920000,0.767764
2.930000,0.768922
2.940000,0.770075
2.950000,0.771221
2.960000,0.772362
2.970000,0.773498
2.980000,0.774627
2.990000,0.775751
3.000000,0.776870
3.010000,0.777983
