t,Probability_Density
0.000000,0.500000
0.010000,0.497506
0.020000,0.495025
0.030000,0.492556
0.040000,0.490099
0.050000,0.487655
0.060000,0.485223
0.070000,0.482803
0.080000,0.480395
0.090000,0.477999
0.100000,0.475615
0.110000,0.473243
0.120000,0.470882
0.130000,0.468534
0.140000,0.466197
0.150000,0.463872
0.160000,0.461558
0.170000,0.459256
0.180000,0.456966
0.190000,0.454686
0.200000,0.452419
0.210000,0.450162
0.220000,0.447917
0.230000,0.445683
0.240000,0.443460
0.250000,0.441248
0.260000,0.439048
0.270000,0.436858
0.280000,0.434679
0.290000,0.432511
0.300000,0.430354
0.310000,0.428208
0.320000,0.426072
0.330000,0.423947
0.340000,0.421832
0.350000,0.419729
0.360000,0.417635
0.370000,0.415552
0.380000,0.413480
0.390000,0.411417
0.400000,0.409365
0.410000,0.407324
0.420000,0.405292
0.430000,0.403271
0.440000,0.401259
0.450000,0.399258
0.460000,0.397267
0.470000,0.395285
0.480000,0.393314
0.490000,0.391352
0.500000,0.389400
0.510000,0.387458
0.520000,0.385526
0.530000,0.383603
0.540000,0.381690
0.550000,0.379786
0.560000,0.377892
0.570000,0.376007
0.580000,0.374132
0.590000,0.372266
0.600000,0.370409
0.610000,0.368562
0.620000,0.366723
0.630000,0.364894
0.640000,0.363075
0.650000,0.361264
0.660000,0.359462
0.670000,0.357669
0.680000,0.355885
0.690000,0.354110
0.700000,0.352344
0.710000,0.350587
0.720000,0.348838
0.730000,0.347098
0.740000,0.345367
0.750000,0.343645
0.760000,0.341931
0.770000,0.340225
0.780000,0.338528
0.790000,0.336840
0.800000,0.335160
0.810000,0.333488
0.820000,0.331825
0.830000,0.330170
0.840000,0.328523
0.850000,0.326885
0.860000,0.325255
0.870000,0.323632
0.880000,0.322018
0.890000,0.320412
0.900000,0.318814
0.910000,0.317224
0.920000,0.315642
0.930000,0.314068
0.940000,0.312501
0.950000,0.310943
0.960000,0.309392
0.970000,0.307849
0.980000,0.306313
0.990000,0.304785
1.000000,0.303265
1.010000,0.301753
1.020000,0.300248
1.030000,0.298750
1.040000,0.297260
1.050000,0.295778
1.060000,0.294302
1.070000,0.292835
1.080000,0.291374
1.090000,0.289921
1.100000,0.288475
1.110000,0.287036
1.120000,0.285605
1.130000,0.284180
1.140000,0.282763
1.150000,0.281352
1.160000,0.279949
1.170000,0.278553
1.180000,0.277164
1.190000,0.275781
1.200000,0.274406
1.210000,0.273037
1.220000,0.271675
1.230000,0.270320
1.240000,0.268972
1.250000,0.267631
1.260000,0.266296
1.270000,0.264968
1.280000,0.263646
1.290000,0.262331
1.300000,0.261023
1.310000,0.259721
1.320000,0.258426
1.330000,0.257137
1.340000,0.255854
1.350000,0.254578
1.360000,0.253308
1.370000,0.252045
1.380000,0.250788
1.390000,0.249537
1.400000,0.248293
1.410000,0.247054
1.420000,0.245822
1.430000,0.244596
1.440000,0.243376
1.450000,0.242162
1.460000,0.240954
1.470000,0.239753
1.480000,0.238557
1.490000,0.237367
1.500000,0.236183
1.510000,0.235005
1.520000,0.233833
1.530000,0.232667
1.540000,0.231507
1.550000,0.230352
1.560000,0.229203
1.570000,0.228060
1.580000,0.226922
1.590000,0.225791
1.600000,0.224664
1.610000,0.223544
1.620000,0.222429
1.630000,0.221320
1.640000,0.220216
1.650000,0.219117
1.660000,0.218025
1.670000,0.216937
1.680000,0.215855
1.690000,0.214779
1.700000,0.213707
1.710000,0.212642
1.720000,0.211581
1.730000,0.210526
1.740000,0.209476
1.750000,0.208431
1.760000,0.207391
1.770000,0.206357
1.780000,0.205328
1.790000,0.204304
1.800000,0.203285
1.810000,0.202271
1.820000,0.201262
1.830000,0.200258
1.840000,0.199260
1.850000,0.198266
1.860000,0.197277
1.870000,0.196293
1.880000,0.195314
1.890000,0.194340
1.900000,0.193371
1.910000,0.192406
1.920000,0.191446
1.930000,0.190492
1.940000,0.189542
1.950000,0.188596
1.960000,0.187656
1.970000,0.186720
1.980000,0.185788
1.990000,0.184862
2.000000,0.183940
2.010000,0.183022
2.020000,0.182109
2.030000,0.181201
2.040000,0.180297
2.050000,0.179398
2.060000,0.178503
2.070000,0.177613
2.080000,0.176727
2.090000,0.175846
2.100000,0.174969
2.110000,0.174096
2.120000,0.173228
2.130000,0.172364
2.140000,0.171504
2.150000,0.170649
2.160000,0.169798
2.170000,0.168951
2.180000,0.168108
2.190000,0.167270
2.200000,0.166436
2.210000,0.165605
2.220000,0.164779
2.230000,0.163958
2.240000,0.163140
2.250000,0.162326
2.260000,0.161517
2.270000,0.160711
2.280000,0.159910
2.290000,0.159112
2.300000,0.158318
2.310000,0.157529
2.320000,0.156743
2.330000,0.155961
2.340000,0.155183
2.350000,0.154409
2.360000,0.153639
2.370000,0.152873
2.380000,0.152111
2.390000,0.151352
2.400000,0.150597
2.410000,0.149846
2.420000,0.149099
2.430000,0.148355
2.440000,0.147615
2.450000,0.146879
2.460000,0.146146
2.470000,0.145417
2.480000,0.144692
2.490000,0.143970
2.500000,0.143252
2.510000,0.142538
2.520000,0.141827
2.530000,0.141120
2.540000,0.140416
2.550000,0.139715
2.560000,0.139019
2.570000,0.138325
2.580000,0.137635
2.590000,0.136949
2.600000,0.136266
2.610000,0.135586
2.620000,0.134910
2.630000,0.134237
2.640000,0.133568
2.650000,0.132901
2.660000,0.132239
2.670000,0.131579
2.680000,0.130923
2.690000,0.130270
2.700000,0.129620
2.710000,0.128974
2.720000,0.128330
2.730000,0.127690
2.740000,0.127053
2.750000,0.126420
2.760000,0.125789
2.770000,0.125162
2.780000,0.124538
2.790000,0.123917
2.800000,0.123298
2.810000,0.122684
2.820000,0.122072
2.830000,0.121463
2.840000,0.120857
2.850000,0.120254
2.860000,0.119654
2.870000,0.119058
2.880000,0.118464
2.890000,0.117873
2.900000,0.117285
2.910000,0.116700
2.920000,0.116118
2.930000,0.115539
2.940000,0.114963
2.950000,0.114389
2.960000,0.113819
2.970000,0.113251
2.980000,0.112686
2.990000,0.112124
3.000000,0.111565
3.010000,0.111009
3.020000,0.110455
3.030000,0.109904
3.040000,0.109356
3.050000,0.108811
3.060000,0.108268
3.070000,0.107728
3.080000,0.107191
3.090000,0.106656
3.100000,0.106124
3.110000,0.105595
3.120000,0.105068
3.130000,0.104544
3.140000,0.104023
3.150000,0.103504
3.160000,0.102988
3.170000,0.102474
3.180000,0.101963
3.190000,0.101454
3.200000,0.100948
3.210000,0.100445
3.220000,0.099944
3.230000,0.099445
3.240000,0.098949
3.250000,0.098456
3.260000,0.097965
3.270000,0.097476
3.280000,0.096990
3.290000,0.096506
3.300000,0.096025
3.310000,0.095546
3.320000,0.095069
3.330000,0.094595
3.340000,0.094124
3.350000,0.093654
3.360000,0.093187
3.370000,0.092722
3.380000,0.092260
3.390000,0.091800
3.400000,0.091342
3.410000,0.090886
3.420000,0.090433
3.430000,0.089982
3.440000,0.089533
3.450000,0.089087
3.460000,0.088642
3.470000,0.088200
3.480000,0.087760
3.490000,0.087322
3.500000,0.086887
3.510000,0.086454
3.520000,0.086022
3.530000,0.085593
3.540000,0.085166
3.550000,0.084742
3.560000,0.084319
3.570000,0.083899
3.580000,0.083480
3.590000,0.083064
3.600000,0.082649
3.610000,0.082237
3.620000,0.081827
3.630000,0.081419
3.640000,0.081013
3.650000,0.080609
3.660000,0.080207
3.670000,0.079807
3.680000,0.079409
3.690000,0.079013
3.700000,0.078619
3.710000,0.078226
3.720000,0.077836
3.730000,0.077448
3.740000,0.077062
3.750000,0.076677
3.760000,0.076295
3.770000,0.075915
