Bin_Start,Bin_End,Density
0.000000,0.200000,0.441000
0.200000,0.400000,0.443000
0.400000,0.600000,0.362000
0.600000,0.800000,0.369000
0.800000,1.000000,0.333000
1.000000,1.200000,0.265000
1.200000,1.400000,0.259000
1.400000,1.600000,0.250000
1.600000,1.800000,0.228000
1.800000,2.000000,0.187000
2.000000,2.200000,0.169000
2.200000,2.400000,0.170000
2.400000,2.600000,0.157000
2.600000,2.800000,0.128000
2.800000,3.000000,0.122000
3.000000,3.200000,0.097000
3.200000,3.400000,0.104000
3.400000,3.600000,0.081000
3.600000,3.800000,0.079000
3.800000,4.000000,0.063000
4.000000,4.200000,0.066000
4.200000,4.400000,0.078000
4.400000,4.600000,0.060000
4.600000,4.800000,0.048000
4.800000,5.000000,0.032000
5.000000,5.200000,0.043000
5.200000,5.400000,0.038000
5.400000,5.600000,0.027000
5.600000,5.800000,0.030000
5.800000,6.000000,0.024000
6.000000,6.200000,0.021000
6.200000,6.400000,0.031000
6.400000,6.600000,0.020000
6.600000,6.800000,0.014000
6.800000,7.000000,0.016000
7.000000,7.200000,0.013000
7.200000,7.400000,0.014000
7.400000,7.600000,0.014000
7.600000,7.800000,0.010000
7.800000,8.000000,0.007000
8.000000,8.200000,0.007000
8.200000,8.400000,0.007000
8.400000,8.600000,0.005000
8.600000,8.800000,0.006000
8.800000,9.000000,0.007000
9.000000,9.200000,0.006000
9.200000,9.400000,0.004000
9.400000,9.600000,0.005000
9.600000,9.800000,0.002000
9.800000,10.000000,0.004000
